Video Time,Commenter,Time,Comment,cleaned_comment,cluster
0:01,Oppoa15s 3y,,yyyy,yyyy,2
0:01,Iftekhar,,এখানে আমরা দেখব এখন কিছু ইউটিউব লীগ,এখানে আমরা দেখব এখন কিছু ইউটিউব লীগ,2
0:01,Rittik,,স্থায়ী সমাধান চাইলে একটু ধৈর্য ধরেন,স্থায়ী সমাধান চাইলে একটু ধৈর্য ধরেন,3
0:01,Iftekhar,,জয় হোগামারা হাসিনা,জয় হোগামারা হাসিনা,1
0:01,MUNNA BD 🇧🇩,,ঠিক বলছেন ভাই,ঠিক বলছেন ভাই,2
0:01,sAiMuN,,অপেক্ষায় আছি দেখার জন্য,অপেক্ষায় আছি দেখার জন্য,3
0:01,RavenTsoi,,"কোনো কথা হবে না, চীনের স্টাইলে সংবিধান করতে হবে, একটা দল ই থাকবে, কংগ্রেসে প্রেসিডেন্ট নির্বাচিত হবে। জনগণের কাজ, খাবে, ঘুমাবে কাজ করবে। কোনো রাজনৈতিক কার্যক্রম থাকবে না। ছাত্র রাজনীতি টোটাল বন্ধ।",কোনো কথা হবে না চীনের স্টাইলে সংবিধান করতে হবে একটা দল ই থাকবে কংগ্রেসে প্রেসিডেন্ট নির্বাচিত হবে জনগণের কাজ খাবে ঘুমাবে কাজ করবে কোনো রাজনৈতিক কার্যক্রম থাকবে না ছাত্র রাজনীতি টোটাল বন্ধ,3
0:01,MUNNA BD 🇧🇩,,ইনশাআল্লাহ একদিন সফলতা আসবেই,ইনশাআল্লাহ একদিন সফলতা আসবেই,1
0:01,Abul Kalam,,শৈরাচার লীগ নিপাত যাক,শৈরাচার লীগ নিপাত যাক,3
0:01,Hifzur Rahman,,ডুবাইতে আন্দোলন করে এখনো ৩০০০+ মানুষ জেলে তাদের ব্যপারে একটা নিউজ চাই।,ডুবাইতে আন্দোলন করে এখনো ৩০০০ মানুষ জেলে তাদের ব্যপারে একটা নিউজ চাই,3
0:01,Abul Kalam,,শৈরাচার লীগ নিপাত যাক। মানবতা মুক্তি পাক,শৈরাচার লীগ নিপাত যাক মানবতা মুক্তি পাক,3
0:01,HAQ KOTHA,,"অকেজো বুরো ইউনুদ, শুধু বক্তৃতা দিতে পারে।",অকেজো বুরো ইউনুদ শুধু বক্তৃতা দিতে পারে,3
0:01,Mafia of Bangladesh,,আওয়ামী লীগ মুক্ত দেশ চাই,আওয়ামী লীগ মুক্ত দেশ চাই,1
0:01,Rittik,,"চীন এর মতো সরকার এর পক্ষে আমি ও প্রধানমন্ত্রী কোনো টাকা পাবে না , জগণের কাছ থেইকা সুবিধা পাবে শুধু",চীন এর মতো সরকার এর পক্ষে আমি ও প্রধানমন্ত্রী কোনো টাকা পাবে না জগণের কাছ থেইকা সুবিধা পাবে শুধু,3
0:01,Sadman Tasfique,,sheik hasina nar maire cude,sheik hasina nar maire cude,2
0:01,Feroz Bin Rais,,vote choor take choor khuni awami league ar fasi hok,vote choor take choor khuni awami league ar fasi hok,2
0:01,Abdur Razzak,,অপেক্ষায় আছি,অপেক্ষায় আছি,2
0:01,Iftekhar,,"haq katha,, tur apar moto helicopter niye cobi tulto?",haq katha tur apar moto helicopter niye cobi tulto,2
0:01,MUNNA BD 🇧🇩,,আপনারা প্রিয় নবীর উম্মত হইয়াও হাসিনার লীগ করেন প্রিয় নবীর লিগ করেন না কে আপনারা তো মুসলমান,আপনারা প্রিয় নবীর উম্মত হইয়াও হাসিনার লীগ করেন প্রিয় নবীর লিগ করেন না কে আপনারা তো মুসলমান,3
0:01,Meow Mr meow,,are start korana ken,are start korana ken,2
0:01,MD KARIMUL,,অপেক্ষায় আছি,অপেক্ষায় আছি,2
0:01,Mr. Sharif,,উপদেষ্টা মন্ডলী ঠিক করুন,উপদেষ্টা মন্ডলী ঠিক করুন,2
0:01,Xyz,,Daduuuuuu,daduuuuuu,2
0:01,MH,,যমুনা টেলিভিশন ও দালালী শুরু করে দিলো,যমুনা টেলিভিশন ও দালালী শুরু করে দিলো,1
0:01,Jamal Hossain,,হায়রে আফসোস লীগ।।।,হায়রে আফসোস লীগ,1
0:01,HAQ KOTHA,,ইউনূসের প্রতিহিংসা এবং সন্ত্রাসী রাজনীতিতে দেশ আজ ধ্বংস,ইউনূসের প্রতিহিংসা এবং সন্ত্রাসী রাজনীতিতে দেশ আজ ধ্বংস,3
0:01,Asraful Asraf,,আর এক মিসনিট পরে বক্তব্য দিবে মন দিয়ে সবাই সোনেন কলিজা ঠান্ডা হবে,আর এক মিসনিট পরে বক্তব্য দিবে মন দিয়ে সবাই সোনেন কলিজা ঠান্ডা হবে,3
0:01,MD KARIMUL,,এগিয়ে যাও দেশবাসী তোমার সাথে আছে,এগিয়ে যাও দেশবাসী তোমার সাথে আছে,3
0:01,MD MOTIAR RAHMAN,,পলিতিন বন্ধ করার বিষয় আলাপ করবে,পলিতিন বন্ধ করার বিষয় আলাপ করবে,2
0:01,Xyz,,Ki dalali korlo,ki dalali korlo,2
0:01,কোরআন হাদিসে আলোকে বিনোদন মিডিয়া,,এগে যায় স্যার,এগে যায় স্যার,3
0:01,Nazrul Islam,,অপেক্ষায় ছিলাম,অপেক্ষায় ছিলাম,1
0:01,Jarmin Liza,,স্যার আসসালামু আলাইকুম,স্যার আসসালামু আলাইকুম,1
0:01,UNKNOWN CREATOR,,India er maire cdi,india er maire cdi,2
0:01,ইসলাম জীবনের আলো,,শুরু করুন সময় কম,শুরু করুন সময় কম,2
0:02,Fazle Joy,,কখন শুরু,কখন শুরু,2
,Md Arabi,,koi,koi,2
,HanShoBD,,এখনো চলে না কেন?,এখনো চলে না কেন,2
,Xyz,,পলিথিন নিয়ে এত মাথাব্যথা কেন,পলিথিন নিয়ে এত মাথাব্যথা কেন,3
,Ibrahim Mia,,জাতি আপনার অপেক্ষায় আছে,জাতি আপনার অপেক্ষায় আছে,3
,Alamgir Hossain,,অপেক্ষায় আছি,অপেক্ষায় আছি,2
,Nutri,,reform the advisor team,reform the advisor team,2
,UNKNOWN CREATOR,,Bangladesh and Pakistan,bangladesh and pakistan,2
,MD Ruhul Amin,,বাংলাদেশে ইসকন নিষিদ্ধ করতেই হবে,বাংলাদেশে ইসকন নিষিদ্ধ করতেই হবে,3
,শেখ বোরহান,,জয় বাংলা,জয় বাংলা,4
,JASIM Harcuchi,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,মোঃ ফজর আলী,,হিজড়াদের সালাম জানানোর দরকার ছিল,হিজড়াদের সালাম জানানোর দরকার ছিল,3
,Bablu Mia,,ইসকন নিষিদ্ধ করা হোক,ইসকন নিষিদ্ধ করা হোক,3
,Ali Hassan Bappy,,তাদের আগে চিকিৎসা ব্যবস্থা করা উচিত আমার মনে হয়,তাদের আগে চিকিৎসা ব্যবস্থা করা উচিত আমার মনে হয়,3
,mamun blogger,,"বিএনপি সাধারণ মানুষের দল তাই বিএনপি কে ভোট দিব এবার,",বিএনপি সাধারণ মানুষের দল তাই বিএনপি কে ভোট দিব এবার,3
,Rubal Ahamed,,যমুনা টিভি রাজাকার,যমুনা টিভি রাজাকার,3
,Mostafa Ahasan,,জিয়ার সৈনিক এক হও,জিয়ার সৈনিক এক হও,3
,Riyadul Islam,,Best of luck,best of luck,2
,Al imran Sabbir,,ওয়ালাইকুম সালাম,ওয়ালাইকুম সালাম,1
,Hasan Tarique,,আওয়ামীলীগ ১৫ বছরে দেশের অর্থ নৈতিক ধংশ করে গেছে !,আওয়ামীলীগ ১৫ বছরে দেশের অর্থ নৈতিক ধংশ করে গেছে,3
,ABID MUBIN,,big fan vai,big fan vai,2
,Rubal Ahamed,,ইউনোস ষাঁড়,ইউনোস ষাঁড়,2
,Shamid Mahin,,আওয়ামী আপসোসলীগ কোথায় তোমরা?,আওয়ামী আপসোসলীগ কোথায় তোমরা,2
,Sadipolok 1,,সুদখোর,সুদখোর,2
,MD Ibrahim Hossain,,া,া,2
,Md Ali Hossain,,জয় বাংলা,জয় বাংলা,4
,Mominul Islam,,আমরাই সমলোচনা করব। আমার আপনাদের পাশে আছি।,আমরাই সমলোচনা করব আমার আপনাদের পাশে আছি,3
,MD MAHMUDUL ISLAM,,heyyy yunus wats up,heyyy yunus wats up,2
,Mostafa Ahasan,,তারেক রহমানকে মাইনাস করেছে সরকার,তারেক রহমানকে মাইনাস করেছে সরকার,3
,GREEN BANGLA MULTIMEDIA,,Sir apnak Rajneeti kora thik hoyni. sudhu shudhu gali khan,sir apnak rajneeti kora thik hoyni sudhu shudhu gali khan,2
,justice,,স্বাধীনতা কাকে বলে জানেন ? স্বাধীনতা একবারই হইছে ১৯৭১ সালে আর এটা পরাধীনতা। ২০২৪ কে যারা স্বাধীনতা বলেন তারা বংশগত পাকিস্তানের বীজ যারা৭১ সালে পরাজরা,স্বাধীনতা কাকে বলে জানেন স্বাধীনতা একবারই হইছে ১৯৭১ সালে আর এটা পরাধীনতা ২০২৪ কে যারা স্বাধীনতা বলেন তারা বংশগত পাকিস্তানের বীজ যারা৭১ সালে পরাজরা,3
,Jennie's boyfriend,,rajakar,rajakar,2
,World Sports,,চলে আইছে লীগ,চলে আইছে লীগ,2
,Md.Mahmudul Hasan,,৭১ এর মুক্তিযুদ্ধের কোন কথা ও সন্মান নাই!,৭১ এর মুক্তিযুদ্ধের কোন কথা ও সন্মান নাই,3
,Roy LX,,"শিক্ষা, শান্তি,প্রগতি",শিক্ষা শান্তি প্রগতি,3
,md mamun,,কিশোরগঞ্জ থেকে,কিশোরগঞ্জ থেকে,2
,Mamun Mamun,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,Moja Masti,,Love,love,2
,Abdur Rajjak,,"জয় বাংলা,",জয় বাংলা,4
,motiur Rahman Roll-110,,আল্লাহর আপনাকে দীর্ঘজীবী করুন,আল্লাহর আপনাকে দীর্ঘজীবী করুন,3
,Md alif Islam,,জয় বাংলা জয় বঙ্গবন্ধু,জয় বাংলা জয় বঙ্গবন্ধু,4
,noyon hasan,,কথা আসে না,কথা আসে না,2
,Sabu Ahmed,,হাসিনার বিচার চাই,হাসিনার বিচার চাই,0
,md Shohid Chowdhury,,আওয়ামী লীগ এর বিচার চাই,আওয়ামী লীগ এর বিচার চাই,0
,PM ARAFAT CHOWDHURY,,"জয় বাংলা, জয় বঙ্গবন্ধু।।",জয় বাংলা জয় বঙ্গবন্ধু,4
,Bablu Mia,,মালাউন লীগ,মালাউন লীগ,1
,Matin Ansari,,go ahead.,go ahead,2
,Mohammad Sumon,,জয় বাংলা জয় বাংলা,জয় বাংলা জয় বাংলা,4
,Movie Review Baj,,মাহমুদুর রহমান পিনাকী ভট্টাচার্য এবং ইলিয়াস এবং কনক সারোয়ার কে কেন উপদেষ্টা বানানো হইতেছে না????,মাহমুদুর রহমান পিনাকী ভট্টাচার্য এবং ইলিয়াস এবং কনক সারোয়ার কে কেন উপদেষ্টা বানানো হইতেছে না,0
,(@md mojahid@),,alhamdulillah,alhamdulillah,2
