Video Time,Commenter,Time,Comment
0:01,Oppoa15s 3y,,yyyy
0:01,Iftekhar,,এখানে আমরা দেখব এখন কিছু ইউটিউব লীগ
0:01,Rittik,,স্থায়ী সমাধান চাইলে একটু ধৈর্য ধরেন
0:01,Iftekhar,,জয় হোগামারা হাসিনা
0:01,MUNNA BD 🇧🇩,,ঠিক বলছেন ভাই
0:01,sAiMuN,,অপেক্ষায় আছি দেখার জন্য
0:01,RavenTsoi,,"কোনো কথা হবে না, চীনের স্টাইলে সংবিধান করতে হবে, একটা দল ই থাকবে, কংগ্রেসে প্রেসিডেন্ট নির্বাচিত হবে। জনগণের কাজ, খাবে, ঘুমাবে কাজ করবে। কোনো রাজনৈতিক কার্যক্রম থাকবে না। ছাত্র রাজনীতি টোটাল বন্ধ।"
0:01,MUNNA BD 🇧🇩,,ইনশাআল্লাহ একদিন সফলতা আসবেই
0:01,Abul Kalam,,শৈরাচার লীগ নিপাত যাক
0:01,Hifzur Rahman,,ডুবাইতে আন্দোলন করে এখনো ৩০০০+ মানুষ জেলে তাদের ব্যপারে একটা নিউজ চাই।
0:01,Abul Kalam,,শৈরাচার লীগ নিপাত যাক। মানবতা মুক্তি পাক
0:01,HAQ KOTHA,,"অকেজো বুরো ইউনুদ, শুধু বক্তৃতা দিতে পারে।"
0:01,Mafia of Bangladesh,,আওয়ামী লীগ মুক্ত দেশ চাই
0:01,Rittik,,"চীন এর মতো সরকার এর পক্ষে আমি ও প্রধানমন্ত্রী কোনো টাকা পাবে না , জগণের কাছ থেইকা সুবিধা পাবে শুধু"
0:01,Sadman Tasfique,,sheik hasina nar maire cude
0:01,Feroz Bin Rais,,vote choor take choor khuni awami league ar fasi hok
0:01,Abdur Razzak,,অপেক্ষায় আছি
0:01,Meow Mr meow,,?
0:01,Iftekhar,,"haq katha,, tur apar moto helicopter niye cobi tulto?"
0:01,MUNNA BD 🇧🇩,,আপনারা প্রিয় নবীর উম্মত হইয়াও হাসিনার লীগ করেন প্রিয় নবীর লিগ করেন না কে আপনারা তো মুসলমান
0:01,IK TECH INFO 2023,,
0:01,Meow Mr meow,,are start korana ken
0:01,MD KARIMUL,,অপেক্ষায় আছি
0:01,Mr. Sharif,,উপদেষ্টা মন্ডলী ঠিক করুন
0:01,Xyz,,Daduuuuuu
0:01,MH,,যমুনা টেলিভিশন ও দালালী শুরু করে দিলো
0:01,Jamal Hossain,,হায়রে আফসোস লীগ।।।
0:01,HAQ KOTHA,,ইউনূসের প্রতিহিংসা এবং সন্ত্রাসী রাজনীতিতে দেশ আজ ধ্বংস
0:01,Asraful Asraf,,আর এক মিসনিট পরে বক্তব্য দিবে মন দিয়ে সবাই সোনেন কলিজা ঠান্ডা হবে
0:01,MD KARIMUL,,এগিয়ে যাও দেশবাসী তোমার সাথে আছে
0:01,MD MOTIAR RAHMAN,,পলিতিন বন্ধ করার বিষয় আলাপ করবে
0:01,Xyz,,Ki dalali korlo
0:01,কোরআন হাদিসে আলোকে বিনোদন মিডিয়া,,এগে যায় স্যার
0:01,Nazrul Islam,,অপেক্ষায় ছিলাম
0:01,Jarmin Liza,,স্যার আসসালামু আলাইকুম
0:01,UNKNOWN CREATOR,,India er maire cdi
0:01,ইসলাম জীবনের আলো,,শুরু করুন সময় কম
0:02,Fazle Joy,,কখন শুরু
,Md Arabi,,koi
,HanShoBD,,এখনো চলে না কেন?
