Word,Frequency
চাই,456
জয,408
বাংল,259
ক,236
ন,236
কর,232
উপদেষ্ট,210
জিন্দাবাদ,182
হব,180
ইসলাম,167
নির্বাচন,164
বাংলাদেশ,159
আপনার,137
জামাত,137
লীগ,135
স্যার,132
দেশ,118
আমর,113
সংস্কার,108
বঙ্গবন্ধ,106
আপন,104
পদত্যাগ,103
জন্য,102
সরকার,101
থেক,99
আগ,93
করত,93
হোক,90
করুন,90
আর,90
ইউনুস,89
বছর,88
আছ,85
বিচার,82
দেখত,82
এই,80
ও,80
আওয়াম,73
কোন,69
দেশের,65
পর,64
হয,64
অনেক,62
ধন্যবাদ,62
ফারুকীর,60
আপনাক,60
ভাল,60
মানুষ,58
কথ,57
ফারুক,57
দাম,55
sir,55
হাসিনার,55
পিনাক,54
হিসেব,54
আলহামদুলিল্লাহ,54
দিন,54
এর,53
করেন,53
৫,52
দিয,50
মুক্ত,49
এখন,48
এব,47
য,47
দরকার,47
আসিফ,47
আমাদের,46
জামায়াত,46
ত,46
নিয,45
তার,44
নৌক,44
শেখ,44
কেন,43
সামল,42
কাজ,42
বাংলাদেশের,41
আল্লাহ,41
হাসিন,40
হোগ,40
joy,40
ড,39
একট,39
আমার,39
ইনশাআল্লাহ,37
তাদের,36
আম,36
কিছ,36
নাই,36
করার,35
সাথ,35
সুন্দর,34
টাক,34
দ্রুত,34
নিয়োগ,34
নতুন,33
সকল,33
সব,33
করছ,31
যার,31
ভুয,31
অনুরোধ,31
চায,31
মানুষের,30
ইলিয়াস,30
পার,30
যান,29
হারপিক,29
এগিয,29
বার,28
মত,28
বাদ,27
কমেন্ট,27
বন্ধ,27
দেন,26
শিবির,26
সাধারণ,26
league,26
ঠিক,25
you,25
ভট্টাচার্য,25
যাব,25
পরিষদ,25
গেছ,25
chai,24
সবাই,24
দেওয,24
পুলিশ,23
মাহতাব,23
বিএনপ,23
এট,23
হত,22
রইল,22
5,22
কাছ,22
ব্যবস্থ,22
good,22
মন,22
হিসাব,22
আন্দোলন,22
ক্ষমতায,22
হাত,22
দিক,21
হাজার,21
এক,21
হচ্ছ,21
বলেন,21
গুল,21
করব,20
দাব,20
হল,20
রহমান,20
আশ,20
যায,20
যেন,20
Allah,20
BNP,20
উপর,20
আইন,20
খুব,20
কমান,20
নয,19
সময,19
আপনাদের,19
ভোট,19
দিত,19
the,19
নিয়ন্ত্রণ,19
দল,19
লীগের,18
er,18
সিন্ডিকেট,18
জনগণের,18
koren,17
অপসারণ,17
হয়েছ,17
তাহল,17
Bangla,17
দেয,17
থাক,17
প্রধান,17
ভাই,16
জাত,16
পদ,16
সার,16
মাহমুদুর,16
কামন,16
কারণ,16
সরকারের,16
ছাত্র,16
পাশ,16
জনগণ,16
প্রয়োজন,16
দিব,16
দিবেন,15
ahead,15
bangla,15
ফারুকির,15
ছিল,15
Sir,15
এত,15
খুন,15
দ্রব্য,15
ডক্টর,15
আফসোস,15
দের,15
থাকার,15
নিষিদ্ধ,14
yunus,14
of,14
গঠন,14
বেশ,14
যাক,14
বশির,14
সুদ,14
বানান,14
মার,14
স্বৈরাচার,14
ইউনূস,14
go,14
আস,14
Dr,14
এ,14
র,14
right,14
League,14
একজন,14
ধর,14
১০০,14
আউ,13
করবেন,13
দান,13
দেখেছ,13
পর্যন্ত,13
চল,13
বাংলার,13
শুধ,13
বিদায,13
ইসলামক,13
পক্ষ,13
জাতীয,13
পরিচালন,13
cai,13
কিন্ত,13
থাকেন,13
দেখ,13
বক্তব্য,13
স্যারক,13
কথায,13
দ্রব্যমূল্যের,13
অধিকার,13
ম,13
দাদ,13
বিপ্লব,13
ভারত,13
hu,12
১০,12
ব,12
লাগ,12
বল,12
Bangladesh,12
প,12
দুর্নীত,12
we,12
সঠিক,12
এমন,12
হওয,12
na,12
পাঁচ,12
দেশক,12
ফির,12
শিক্ষ,12
কিভাব,12
জানাচ্ছ,12
সাহেব,11
তারপর,11
আবার,11
পড,11
hi,11
ইনকিলাব,11
সেই,11
নির্বাচনের,11
younus,11
মূল্য,11
কষ্ট,11
বড,11
মধ্য,11
নেই,11
এবার,11
দিল,11
কম,11
are,11
শেষ,11
তিন,11
প্রত,11
১,11
k,11
উচিত,11
ব্যর্থ,11
থাকত,11
akbar,11
জারজ,10
বাজার,10
যোগ্য,10
কার,10
বাতিল,10
আওয়ামীলীগ,10
খুবই,10
বাটপার,10
মান,10
বছরের,10
congratulations,10
ভাব,10
আন,10
boycott,10
আসব,10
love,10
যদ,10
খারাপ,10
নজর,10
করেছেন,10
Awami,10
দলের,10
তোর,10
years,10
জনগন,10
পরিবর্তন,10
পাব,10
গেল,10
অপেক্ষায,10
মাস,10
কখন,9
kore,9
to,9
and,9
সংস্কারের,9
সরকারক,9
শুভকামন,9
ক্ষমত,9
Alhamdulillah,9
faruki,9
উপদেষ্টার,9
কোট,9
হায়াত,9
দ,9
দয,9
থাকব,9
জাতির,9
আমিন,9
রাজনৈতিক,9
রাখত,9
bnp,9
হ,9
Younus,9
কমাত,9
ভাষন,9
হোসেন,9
hobe,9
দ্রব্যমূল্য,9
করেছ,9
কনক,9
মাহাতাব,9
কই,9
লোক,9
thanks,9
সহ,9
বেতন,9
তাদেরক,9
নিপাত,9
তাড়াতাড,9
তোমার,9
সাংবাদিক,9
ফারুকীক,9
ভারতের,8
করলেন,8
শুভ,8
আসছ,8
অত,8
মানুষক,8
আগাম,8
তাই,8
হত্যার,8
নিশ্চিত,8
ke,8
luck,8
বুঝ,8
করুক,8
বাজারের,8
চিকিৎস,8
যেমন,8
আইনের,8
নিত্য,8
দূর,8
লাভ,8
আলাইকুম,8
বিষয,8
জন,8
হাস,8
মুহাম্মদ,8
ar,8
Good,8
10,8
কব,8
মোহাম্মদ,8
Yunus,8
সংবিধান,8
দুই,8
তুম,8
dr,8
সুযোগ,8
নেত,8
জান,8
খক্ষতায,8
করল,8
আরও,8
ঝাড,8
আনার,7
প্রশাসন,7
